#       r             R(r)          X(r)=rR(r)          e
  1.655773e+00   7.424708e-13   1.229363e-12  -4.000000e+02
  1.672413e+00   5.322762e-13   8.901859e-13  -4.000000e+02
  1.689221e+00   3.803137e-13   6.424341e-13  -4.000000e+02
  1.706198e+00   2.708192e-13   4.620714e-13  -4.000000e+02
  1.723346e+00   1.921918e-13   3.312130e-13  -4.000000e+02
  1.740666e+00   1.359231e-13   2.365967e-13  -4.000000e+02
  1.758160e+00   9.579427e-14   1.684216e-13  -4.000000e+02
  1.775830e+00   6.727574e-14   1.194703e-13  -4.000000e+02
  1.793677e+00   4.707982e-14   8.444600e-14  -4.000000e+02
  1.811704e+00   3.282865e-14   5.947578e-14  -4.000000e+02
  1.829912e+00   2.280853e-14   4.173759e-14  -4.000000e+02
  1.848303e+00   1.578890e-14   2.918267e-14  -4.000000e+02
  1.866878e+00   1.088932e-14   2.032904e-14  -4.000000e+02
  1.885641e+00   7.482180e-15   1.410870e-14  -4.000000e+02
  1.904592e+00   5.121737e-15   9.754818e-15  -4.000000e+02
  1.923733e+00   3.492624e-15   6.718876e-15  -4.000000e+02
  1.943067e+00   2.372548e-15   4.610021e-15  -4.000000e+02
  1.962595e+00   1.605426e-15   3.150802e-15  -4.000000e+02
  1.982320e+00   1.082083e-15   2.145035e-15  -4.000000e+02
  2.002242e+00   7.264551e-16   1.454539e-15  -4.000000e+02
  2.022365e+00   4.857552e-16   9.823744e-16  -4.000000e+02
  2.042690e+00   3.234961e-16   6.608024e-16  -4.000000e+02
  2.063220e+00   2.145587e-16   4.426818e-16  -4.000000e+02
  2.083955e+00   1.417199e-16   2.953378e-16  -4.000000e+02
  2.104900e+00   9.321905e-17   1.962167e-16  -4.000000e+02
  2.126054e+00   6.105904e-17   1.298148e-16  -4.000000e+02
  2.147421e+00   3.982429e-17   8.551954e-17  -4.000000e+02
  2.169003e+00   2.586309e-17   5.609713e-17  -4.000000e+02
  2.190802e+00   1.672355e-17   3.663798e-17  -4.000000e+02
  2.212820e+00   1.076646e-17   2.382423e-17  -4.000000e+02
  2.235059e+00   6.900723e-18   1.542352e-17  -4.000000e+02
  2.257522e+00   4.403261e-18   9.940459e-18  -4.000000e+02
  2.280210e+00   2.797002e-18   6.377753e-18  -4.000000e+02
  2.303127e+00   1.768601e-18   4.073313e-18  -4.000000e+02
  2.326274e+00   1.113181e-18   2.589564e-18  -4.000000e+02
  2.349653e+00   6.973974e-19   1.638642e-18  -4.000000e+02
  2.373268e+00   4.348638e-19   1.032048e-18  -4.000000e+02
  2.397119e+00   2.698757e-19   6.469244e-19  -4.000000e+02
  2.421211e+00   1.666831e-19   4.035749e-19  -4.000000e+02
  2.445544e+00   1.024508e-19   2.505479e-19  -4.000000e+02
  2.470122e+00   6.266336e-20   1.547862e-19  -4.000000e+02
  2.494948e+00   3.813868e-20   9.515401e-20  -4.000000e+02
  2.520022e+00   2.309667e-20   5.820413e-20  -4.000000e+02
  2.545349e+00   1.391692e-20   3.542342e-20  -4.000000e+02
  2.570930e+00   8.343052e-21   2.144940e-20  -4.000000e+02
