#       r             V(r)
  2.66985191e-03  -1.49821044e+04
  2.69668437e-03  -1.48330300e+04
  2.72378649e-03  -1.46854389e+04
  2.75116100e-03  -1.45393163e+04
  2.77881063e-03  -1.43946477e+04
  2.80673814e-03  -1.42514185e+04
  2.83494633e-03  -1.41096146e+04
  2.86343801e-03  -1.39692215e+04
  2.89221604e-03  -1.38302255e+04
  2.92128330e-03  -1.36926124e+04
  2.95064268e-03  -1.35563687e+04
  2.98029714e-03  -1.34214805e+04
  3.01024962e-03  -1.32879346e+04
  3.04050313e-03  -1.31557174e+04
  3.07106070e-03  -1.30248158e+04
  3.10192537e-03  -1.28952168e+04
  3.13310024e-03  -1.27669072e+04
  3.16458842e-03  -1.26398744e+04
  3.19639306e-03  -1.25141055e+04
  3.22851734e-03  -1.23895881e+04
  3.26096448e-03  -1.22663096e+04
  3.29373772e-03  -1.21442578e+04
  3.32684034e-03  -1.20234204e+04
  3.36027564e-03  -1.19037854e+04
  3.39404697e-03  -1.17853407e+04
  3.42815771e-03  -1.16680746e+04
  3.46261127e-03  -1.15519754e+04
  3.49741109e-03  -1.14370313e+04
  3.53256065e-03  -1.13232309e+04
  3.56806348e-03  -1.12105629e+04
  3.60392311e-03  -1.10990159e+04
  3.64014314e-03  -1.09885789e+04
  3.67672719e-03  -1.08792407e+04
  3.71367891e-03  -1.07709904e+04
  3.75100200e-03  -1.06638173e+04
  3.78870020e-03  -1.05577105e+04
  3.82677727e-03  -1.04526596e+04
  3.86523702e-03  -1.03486539e+04
  3.90408330e-03  -1.02456830e+04
  3.94331999e-03  -1.01437368e+04
  3.98295101e-03  -1.00428049e+04
  4.02298034e-03  -9.94287733e+03
  4.06341196e-03  -9.84394405e+03
  4.10424993e-03  -9.74599517e+03
  4.14549833e-03  -9.64902090e+03
  4.18716128e-03  -9.55301153e+03
  4.22924295e-03  -9.45795748e+03
  4.27174755e-03  -9.36384923e+03
  4.31467932e-03  -9.27067738e+03
  4.35804257e-03  -9.17843259e+03
  4.40184163e-03  -9.08710566e+03
  4.44608087e-03  -8.99668745e+03
  4.49076473e-03  -8.90716892e+03
  4.53589766e-03  -8.81854110e+03
  4.58148419e-03  -8.73079515e+03
  4.62752888e-03  -8.64392229e+03
  4.67403631e-03  -8.55791383e+03
  4.72101116e-03  -8.47276116e+03
  4.76845811e-03  -8.38845578e+03
  4.81638191e-03  -8.30498925e+03
  4.86478735e-03  -8.22235323e+03
  4.91367928e-03  -8.14053944e+03
  4.96306258e-03  -8.05953972e+03
  5.01294219e-03  -7.97934596e+03
  5.06332309e-03  -7.89995014e+03
  5.11421034e-03  -7.82134433e+03
  5.16560900e-03  -7.74352065e+03
  5.21752424e-03  -7.66647133e+03
  5.26996123e-03  -7.59018867e+03
  5.32292522e-03  -7.51466503e+03
  5.37642151e-03  -7.43989286e+03
  5.43045544e-03  -7.36586469e+03
  5.48503243e-03  -7.29257311e+03
  5.54015792e-03  -7.22001080e+03
  5.59583743e-03  -7.14817049e+03
  5.65207653e-03  -7.07704501e+03
  5.70888085e-03  -7.00662723e+03
  5.76625605e-03  -6.93691013e+03
  5.82420789e-03  -6.86788672e+03
  5.88274215e-03  -6.79955010e+03
  5.94186469e-03  -6.73189345e+03
  6.00158143e-03  -6.66490999e+03
  6.06189832e-03  -6.59859303e+03
  6.12282141e-03  -6.53293593e+03
  6.18435679e-03  -6.46793213e+03
  6.24651061e-03  -6.40357513e+03
  6.30928909e-03  -6.33985849e+03
  6.37269849e-03  -6.27677585e+03
  6.43674518e-03  -6.21432089e+03
  6.50143554e-03  -6.15248736e+03
  6.56677606e-03  -6.09126909e+03
  6.63277325e-03  -6.03065995e+03
  6.69943373e-03  -5.97065388e+03
  6.76676416e-03  -5.91124488e+03
  6.83477127e-03  -5.85242701e+03
  6.90346187e-03  -5.79419439e+03
  6.97284281e-03  -5.73654119e+03
  7.04292105e-03  -5.67946165e+03
  7.11370358e-03  -5.62295006e+03
  7.18519749e-03  -5.56700078e+03
  7.25740992e-03  -5.51160819e+03
  7.33034811e-03  -5.45676678e+03
  7.40401933e-03  -5.40247104e+03
  7.47843096e-03  -5.34871555e+03
  7.55359044e-03  -5.29549494e+03
  7.62950529e-03  -5.24280389e+03
  7.70618309e-03  -5.19063712e+03
  7.78363152e-03  -5.13898942e+03
  7.86185832e-03  -5.08785562e+03
  7.94087131e-03  -5.03723061e+03
  8.02067839e-03  -4.98710933e+03
  8.10128755e-03  -4.93748676e+03
  8.18270684e-03  -4.88835795e+03
  8.26494441e-03  -4.83971797e+03
  8.34800848e-03  -4.79156197e+03
  8.43190736e-03  -4.74388513e+03
  8.51664944e-03  -4.69668269e+03
  8.60224319e-03  -4.64994992e+03
  8.68869717e-03  -4.60368214e+03
  8.77602003e-03  -4.55787474e+03
  8.86422050e-03  -4.51252313e+03
  8.95330740e-03  -4.46762277e+03
  9.04328963e-03  -4.42316918e+03
  9.13417620e-03  -4.37915791e+03
  9.22597620e-03  -4.33558456e+03
  9.31869880e-03  -4.29244478e+03
  9.41235328e-03  -4.24973424e+03
  9.50694901e-03  -4.20744868e+03
  9.60249543e-03  -4.16558386e+03
  9.69900211e-03  -4.12413561e+03
  9.79647871e-03  -4.08309977e+03
  9.89493495e-03  -4.04247225e+03
  9.99438070e-03  -4.00224898e+03
  1.00948259e-02  -3.96242594e+03
  1.01962806e-02  -3.92299914e+03
  1.02987549e-02  -3.88396465e+03
  1.04022591e-02  -3.84531856e+03
  1.05068036e-02  -3.80705700e+03
  1.06123987e-02  -3.76917615e+03
  1.07190551e-02  -3.73167222e+03
  1.08267834e-02  -3.69454146e+03
  1.09355943e-02  -3.65778016e+03
  1.10454989e-02  -3.62138464e+03
  1.11565080e-02  -3.58535126e+03
  1.12686328e-02  -3.54967642e+03
  1.13818844e-02  -3.51435654e+03
  1.14962743e-02  -3.47938811e+03
  1.16118137e-02  -3.44476762e+03
  1.17285144e-02  -3.41049161e+03
  1.18463879e-02  -3.37655665e+03
  1.19654461e-02  -3.34295935e+03
  1.20857008e-02  -3.30969635e+03
  1.22071642e-02  -3.27676432e+03
  1.23298482e-02  -3.24415997e+03
  1.24537652e-02  -3.21188004e+03
  1.25789277e-02  -3.17992130e+03
  1.27053480e-02  -3.14828056e+03
  1.28330388e-02  -3.11695464e+03
  1.29620130e-02  -3.08594042e+03
  1.30922834e-02  -3.05523480e+03
  1.32238631e-02  -3.02483471e+03
  1.33567651e-02  -2.99473710e+03
  1.34910028e-02  -2.96493897e+03
  1.36265897e-02  -2.93543733e+03
  1.37635392e-02  -2.90622924e+03
  1.39018650e-02  -2.87731178e+03
  1.40415811e-02  -2.84868205e+03
  1.41827013e-02  -2.82033719e+03
  1.43252398e-02  -2.79227437e+03
  1.44692109e-02  -2.76449077e+03
  1.46146289e-02  -2.73698363e+03
  1.47615083e-02  -2.70975019e+03
  1.49098640e-02  -2.68278772e+03
  1.50597106e-02  -2.65609354e+03
  1.52110632e-02  -2.62966497e+03
  1.53639369e-02  -2.60349936e+03
  1.55183471e-02  -2.57759411e+03
  1.56743090e-02  -2.55194662e+03
  1.58318385e-02  -2.52655433e+03
  1.59909511e-02  -2.50141469e+03
  1.61516628e-02  -2.47652520e+03
  1.63139897e-02  -2.45188336e+03
  1.64779481e-02  -2.42748672e+03
  1.66435542e-02  -2.40333282e+03
  1.68108247e-02  -2.37941926e+03
  1.69797763e-02  -2.35574364e+03
  1.71504259e-02  -2.33230360e+03
  1.73227905e-02  -2.30909679e+03
  1.74968875e-02  -2.28612089e+03
  1.76727341e-02  -2.26337361e+03
